Time,ObjectCount,FPS,PhysicsTime(ms),TotalMemory(MB),ActiveObjects
0.92,1000,693.0,0.0000,1144,1000
0.92,1000,615.4,0.0000,1144,1000
0.92,1000,643.6,0.0000,1144,1000
0.93,1000,692.8,0.0000,1144,1000
0.93,1000,691.8,0.0000,1144,1000
0.93,1000,665.3,0.0000,1144,1000
0.93,1000,688.4,0.0000,1144,1000
0.93,1000,692.5,0.0000,1144,1000
0.93,1000,680.1,0.0000,1144,1000
0.94,1000,465.0,0.3406,1144,1000
0.94,1000,675.5,0.0000,1144,1000
0.94,1000,687.7,0.0000,1144,1000
0.94,1000,679.3,0.0000,1144,1000
0.94,1000,687.0,0.0000,1144,1000
0.94,1000,569.9,0.0000,1144,1000
0.94,1000,609.6,0.0000,1144,1000
0.95,1000,714.7,0.0000,1144,1000
0.95,1000,692.5,0.0000,1144,1000
0.95,1000,702.2,0.0000,1144,1000
0.95,1000,634.0,0.0000,1144,1000
0.95,1000,629.4,0.0000,1144,1000
0.95,1000,447.4,0.3508,1144,1000
0.96,1000,664.9,0.0000,1145,1000
0.96,1000,693.6,0.0000,1145,1000
0.96,1000,702.1,0.0000,1145,1000
0.96,1000,692.8,0.0000,1145,1000
0.96,1000,654.8,0.0000,1145,1000
0.96,1000,658.8,0.0000,1145,1000
0.96,1000,656.9,0.0000,1145,1000
0.97,1000,680.4,0.0000,1144,1000
0.97,1000,689.0,0.0000,1144,1000
0.97,1000,649.5,0.0000,1144,1000
0.97,1000,689.7,0.0000,1145,1000
0.97,1000,698.6,0.0000,1145,1000
0.97,1000,476.6,0.3316,1145,1000
0.98,1000,676.5,0.0000,1145,1000
0.98,1000,696.2,0.0000,1145,1000
0.98,1000,682.5,0.0000,1145,1000
0.98,1000,663.0,0.0000,1145,1000
0.98,1000,671.1,0.0000,1145,1000
0.98,1000,685.1,0.0000,1145,1000
0.98,1000,598.8,0.0000,1145,1000
0.99,1000,657.9,0.0000,1145,1000
0.99,1000,618.4,0.0000,1145,1000
0.99,1000,637.6,0.0000,1144,1000
0.99,1000,651.1,0.0000,1144,1000
0.99,1000,636.7,0.0000,1145,1000
0.99,1000,449.6,0.4169,1145,1000
1.00,1000,665.2,0.0000,1145,1000
1.00,1000,672.1,0.0000,1145,1000
1.00,1000,648.8,0.0000,1145,1000
1.00,1000,694.7,0.0000,1145,1000
1.00,1000,695.4,0.0000,1145,1000
1.00,1000,697.8,0.0000,1145,1000
1.00,1000,705.5,0.0000,1145,1000
1.01,1000,697.6,0.0000,1145,1000
1.01,1000,689.2,0.0000,1145,1000
1.01,1000,685.1,0.0000,1145,1000
1.01,1000,693.9,0.0000,1145,1000
1.01,1000,701.3,0.0000,1145,1000
1.01,1000,402.7,0.3760,1145,1000
1.02,1000,632.2,0.0000,1145,1000
